y,qy,ly,Dy,Ny,Sy
85,0.123611,378044.000000,70230.844000,349653.491000,1427295.349000
86,0.140022,331314.000000,60342.685000,279422.647000,1077641.859000
87,0.158257,284922.000000,50875.865000,219079.961000,798219.212000
88,0.178185,239832.000000,41984.709000,168204.097000,579139.251000
89,0.199669,197097.000000,33827.121000,126219.388000,410935.155000
90,0.222504,157743.000000,26542.053000,92392.267000,284715.767000
91,0.246453,122645.000000,20231.706000,65850.214000,192323.500000
92,0.271195,92418.000000,14946.609000,45618.509000,126473.286000
93,0.295584,67355.000000,10679.572000,30671.900000,80854.777000
94,0.319362,47446.000000,7375.354000,19992.328000,50182.877000
95,0.343441,32294.000000,4921.516000,12616.974000,30190.549000
96,0.367818,21203.000000,3167.907000,7695.458000,17573.575000
97,0.392493,13404.000000,1963.426000,4527.550000,9878.117000
98,0.417460,8143.000000,1169.407000,2564.125000,5350.567000
99,0.442716,4744.000000,667.869000,1394.718000,2786.442000
100,0.468258,2644.000000,364.895000,726.849000,1391.724000
101,0.494075,1406.000000,190.225000,361.955000,664.874000
102,0.520164,711.000000,94.353000,171.729000,302.920000
103,0.546514,341.000000,44.386000,77.377000,131.190000
104,0.573114,155.000000,19.734000,32.991000,53.814000
105,0.599953,66.000000,8.259000,13.257000,20.823000
106,0.627014,26.000000,3.239000,4.998000,7.566000
107,0.654283,10.000000,1.184000,1.759000,2.568000
108,0.681741,3.000000,0.401000,0.574000,0.810000
109,0.709364,1.000000,0.125000,0.173000,0.235000
110,0.737130,0.000000,0.036000,0.048000,0.063000
111,0.765011,0.000000,0.009000,0.012000,0.015000
112,0.792974,0.000000,0.002000,0.003000,0.003000
113,0.820987,0.000000,0.000000,0.001000,0.001000
114,0.849009,0.000000,0.000000,0.000000,0.000000
115,0.876998,0.000000,0.000000,0.000000,0.000000
116,0.904905,0.000000,0.000000,0.000000,0.000000
117,0.932675,0.000000,0.000000,0.000000,0.000000
118,0.960249,0.000000,0.000000,0.000000,0.000000
119,0.987564,0.000000,0.000000,0.000000,0.000000
120,1.000000,0.000000,0.000000,0.000000,0.000000
121,1.000000,0.000000,0.000000,0.000000,0.000000
