Datum;Erster;Hoch;Tief;Schlusskurs;Volumen
2008-09-15;52,45;52,45;52,32;52,32;168,00
2008-09-12;52,45;52,45;52,32;52,32;480,00
2008-09-11;52,60;52,60;52,32;52,32;902,00
2008-09-10;52,46;52,46;52,33;52,39;442,00
2008-09-09;52,32;52,44;52,31;52,33;8.755,00
2008-09-08;52,30;52,44;52,29;52,31;744,00
2008-09-05;52,30;52,43;52,29;52,29;818,00
2008-09-04;52,30;52,43;52,30;52,30;615,00
2008-09-03;52,29;52,40;52,29;52,30;185,00
2008-09-02;52,50;52,50;52,29;52,29;1.347,00
2008-09-01;52,31;52,40;52,31;52,31;95,00
2008-08-29;52,32;52,40;52,32;52,32;1.300,00
2008-08-28;52,32;52,32;52,32;52,32;0,00
2008-08-27;52,28;52,38;52,26;52,26;3.589,00
2008-08-26;52,37;52,37;52,24;52,25;477,00
2008-08-25;52,24;52,24;52,24;52,24;0,00
2008-08-22;52,35;52,35;52,24;52,25;836,00
2008-08-21;52,36;52,36;52,22;52,24;1.165,00
2008-08-20;52,28;52,28;52,23;52,23;0,00
2008-08-19;51,94;51,94;51,94;51,94;0,00
2008-08-18;52,04;52,04;51,92;52,04;355,00
2008-08-15;52,02;52,02;51,92;51,92;359,00
2008-08-14;51,90;52,02;51,90;51,90;315,00
2008-08-13;52,00;52,02;51,89;51,90;615,00
2008-08-12;51,99;51,99;51,87;51,99;443,00
2008-08-11;51,85;51,99;51,85;51,87;1.188,00
2008-08-08;51,81;51,93;51,81;51,84;1,00
2008-08-07;51,81;51,93;51,81;51,81;690,00
2008-08-06;51,80;51,81;51,80;51,81;1.166,00
2008-08-05;51,91;51,92;51,79;51,80;603,00
2008-08-04;51,85;51,88;51,79;51,79;1.610,00
2008-08-01;51,88;51,88;51,76;51,77;80,00
2008-07-31;51,74;51,88;51,74;51,76;185,00
2008-07-30;51,72;51,76;51,72;51,74;40,00
2008-07-29;51,84;51,84;51,72;51,72;60,00
2008-07-28;51,72;51,74;51,72;51,73;704,00
2008-07-25;51,67;51,82;51,67;51,70;463,00
2008-07-24;51,65;51,79;51,65;51,67;100,00
2008-07-23;51,66;51,66;51,65;51,65;387,00
2008-07-22;51,68;51,80;51,66;51,66;245,00
2008-07-21;51,68;51,80;51,68;51,68;8,00
2008-07-18;51,79;51,80;51,67;51,68;515,00
2008-07-17;51,65;51,67;51,65;51,67;171,00
2008-07-16;51,69;51,69;51,65;51,65;20,00
2008-07-15;51,69;51,69;51,64;51,64;298,00
2008-07-14;52,00;52,00;51,63;51,65;2.629,00
2008-07-11;51,69;51,70;51,58;51,58;1.598,00
2008-07-10;51,61;51,73;51,61;51,62;786,00
2008-07-09;51,66;51,67;51,59;51,61;120,00
2008-07-08;51,68;51,68;51,58;51,59;734,00
2008-07-07;51,62;51,69;51,51;51,61;2.089,00
2008-07-04;51,50;51,62;51,50;51,51;240,00
2008-07-03;53,72;53,85;53,72;53,85;90,00
2008-07-02;53,87;53,87;53,87;53,87;200,00
2008-07-01;53,77;53,90;53,74;53,74;509,00
2008-06-30;53,75;53,77;53,75;53,77;69,00
2008-06-27;53,75;53,88;53,75;53,80;247,00
2008-06-26;53,74;53,74;53,74;53,74;3,00
2008-06-25;53,77;53,79;53,77;53,79;0,00
2008-06-24;53,70;53,90;53,70;53,77;56,00
2008-06-23;53,88;53,89;53,88;53,89;347,00
2008-06-20;53,52;53,52;53,52;53,52;0,00
2008-06-19;53,53;53,66;53,53;53,66;70,00
2008-06-18;53,52;53,56;53,52;53,56;1.311,00
2008-06-17;53,52;53,52;53,52;53,52;0,00
2008-06-16;53,47;53,47;53,47;53,47;390,00
2008-06-13;53,49;53,62;53,47;53,47;247,00
2008-06-12;53,47;53,59;53,47;53,59;1.662,00
2008-06-11;53,45;53,58;53,45;53,47;540,00
2008-06-10;53,45;53,45;53,45;53,45;0,00
2008-06-09;53,49;53,49;53,45;53,45;795,00
2008-06-06;53,50;53,63;53,49;53,49;50,00
2008-06-05;53,50;53,63;53,50;53,50;166,00
2008-06-04;53,60;53,60;53,50;53,50;100,00
2008-06-03;53,49;53,55;53,49;53,52;100,00
2008-06-02;53,60;53,66;53,49;53,49;270,00
2008-05-30;53,49;53,75;53,49;53,49;290,00
2008-05-29;53,50;53,75;53,50;53,75;30,00
2008-05-28;53,49;53,50;53,49;53,50;3.543,00
2008-05-27;53,50;53,50;53,50;53,50;0,00
2008-05-26;53,48;53,74;53,48;53,74;165,00
2008-05-23;53,50;53,50;53,50;53,50;0,00
2008-05-22;53,50;53,76;53,50;53,76;502,00
2008-05-21;53,78;53,78;53,52;53,76;7.030,00
2008-05-20;53,55;53,55;53,55;53,55;0,00
2008-05-19;53,50;53,50;53,49;53,49;362,00
2008-05-16;53,52;53,52;53,48;53,48;1.265,00
2008-05-15;53,52;53,54;53,52;53,54;570,00
2008-05-14;53,50;53,52;53,50;53,52;115,00
2008-05-13;53,46;53,48;53,46;53,48;693,00
2008-05-12;53,48;53,48;53,46;53,48;1.170,00
2008-05-09;53,46;53,46;53,44;53,46;1.809,00
2008-05-08;53,45;53,45;53,43;53,43;291,00
2008-05-07;53,46;53,46;53,43;53,43;355,00
2008-05-06;53,43;53,43;53,43;53,46;690,00
2008-05-05;53,42;53,44;53,42;53,42;274,00
2008-05-02;53,40;53,40;53,40;53,40;134,00
2008-04-30;53,39;53,39;53,39;53,39;387,00
2008-04-29;53,37;53,37;53,37;53,37;0,00
2008-04-28;53,36;53,36;53,36;53,36;120,00
2008-04-25;53,33;53,33;53,33;53,33;100,00
2008-04-24;53,30;53,33;53,30;53,33;498,00
2008-04-23;53,31;53,31;53,30;53,30;217,00
2008-04-22;53,30;53,31;53,30;53,31;395,00
2008-04-21;53,28;53,30;53,28;53,30;1.275,00
2008-04-18;53,06;53,29;53,06;53,29;2.925,00
2008-04-17;53,29;53,30;53,29;53,30;2.235,00
2008-04-16;53,30;53,30;53,29;53,29;1.169,00
2008-04-15;53,29;53,34;53,29;53,34;100,00
2008-04-14;53,33;53,33;53,30;53,33;205,00
2008-04-11;53,28;53,33;53,28;53,28;1.305,00
2008-04-10;53,28;53,30;53,28;53,28;2.100,00
2008-04-09;53,28;53,33;53,28;53,30;506,00
2008-04-08;53,28;53,33;53,28;53,28;241,00
2008-04-07;53,25;53,30;53,25;53,25;1.000,00
2008-04-04;53,23;53,28;53,23;53,25;7.080,00
2008-04-03;53,23;53,28;53,23;53,28;3.140,00
2008-04-02;53,22;53,28;53,22;53,28;1.014,00
2008-04-01;53,25;53,27;53,25;53,27;367,00
2008-03-31;53,23;53,23;53,23;53,23;60,00
2008-03-28;53,25;53,26;53,20;53,20;190,00
2008-03-27;53,20;53,39;53,20;53,38;558,00
2008-03-26;53,20;53,30;53,20;53,20;75,00
2008-03-25;52,89;53,41;52,89;53,41;955,00
2008-03-20;53,40;53,41;52,89;53,41;245,00
2008-03-19;52,84;53,10;52,84;53,10;1.400,00
2008-03-18;52,85;52,86;52,85;52,86;134,00
2008-03-17;52,85;53,27;52,85;52,85;561,00
2008-03-14;52,95;52,95;52,79;52,79;700,00
2008-03-13;53,37;53,37;53,37;53,37;28,00
2008-03-12;52,95;53,37;52,95;52,95;20,00
2008-03-11;52,95;53,42;52,95;53,42;19,00
2008-03-10;53,42;53,42;52,95;52,95;80,00
2008-03-07;53,30;53,30;52,95;52,95;0,00
2008-03-06;52,95;52,95;52,95;52,95;0,00
2008-03-05;52,95;52,95;52,95;52,95;0,00
2008-03-04;52,95;52,95;52,95;52,95;0,00
2008-03-03;53,24;53,24;52,72;52,72;580,00
2008-02-29;52,77;52,77;52,77;52,77;0,00
2008-02-28;52,95;52,95;52,70;52,70;57,00
2008-02-27;52,85;53,29;52,65;53,29;635,00
2008-02-26;52,85;52,85;52,85;52,85;253,00
2008-02-25;53,00;53,00;52,85;52,85;50,00
2008-02-22;52,61;52,71;52,61;52,71;0,00
2008-02-21;52,60;53,12;52,60;52,60;144,00
2008-02-20;52,54;53,38;52,54;53,38;40,00
2008-02-19;53,00;53,00;52,56;52,56;40,00
2008-02-18;52,56;53,00;52,56;53,00;0,00
2008-02-15;52,57;52,58;52,57;52,58;555,00
2008-02-14;52,64;52,64;52,64;52,64;0,00
2008-02-13;52,75;52,75;52,58;52,58;0,00
2008-02-12;53,08;53,23;52,56;52,75;430,00
2008-02-11;53,08;53,08;52,56;53,08;1.359,00
2008-02-08;52,52;52,52;52,52;52,52;0,00
2008-02-07;52,58;52,58;52,57;52,57;0,00
2008-02-06;52,58;53,11;52,58;53,11;385,00
2008-02-05;52,70;53,19;52,69;52,69;416,00
2008-02-04;53,00;53,10;52,70;53,10;466,00
2008-02-01;52,57;52,57;52,57;52,57;0,00
2008-01-31;52,64;52,76;52,43;52,43;317,00
2008-01-30;52,64;52,71;52,64;52,71;480,00
2008-01-29;52,66;52,66;52,66;52,66;100,00
2008-01-28;52,65;52,65;52,65;52,65;0,00
2008-01-25;52,68;52,81;52,68;52,69;174,00
2008-01-24;52,69;52,69;52,68;52,68;130,00
2008-01-23;52,56;52,69;52,56;52,69;96,00
2008-01-22;52,69;52,69;52,56;52,60;581,00
2008-01-21;52,70;52,83;52,68;52,70;1.111,00
2008-01-18;52,64;52,80;52,64;52,80;101,00
2008-01-17;52,53;52,53;52,53;52,53;0,00
2008-01-16;52,51;52,56;52,50;52,56;0,00
2008-01-15;52,65;52,65;52,49;52,49;683,00
2008-01-14;52,46;52,46;52,46;52,46;430,00
2008-01-11;52,46;52,46;52,46;52,46;0,00
2008-01-10;52,46;52,46;52,46;52,46;90,00
2008-01-09;52,64;52,64;52,64;52,64;336,00
2008-01-08;52,47;52,60;52,47;52,60;315,00
2008-01-07;52,55;52,68;52,54;52,54;1.385,00
2008-01-04;52,52;52,58;52,52;52,58;10,00
2008-01-03;52,41;52,54;52,41;52,43;1.968,00
2008-01-02;52,40;52,40;52,24;52,24;340,00
2007-12-28;52,32;52,58;52,32;52,58;115,00
2007-12-27;52,30;52,45;52,30;52,45;374,00
2007-12-21;52,36;52,36;52,36;52,36;285,00
2007-12-20;52,36;52,38;52,36;52,38;992,00
2007-12-19; ; ; ;52,36;196,00
2007-12-18; ; ; ;52,29;1.758,00
2007-12-17; ; ; ;52,24;482,00
2007-12-14;52,30;52,33;52,30;52,30;642,00
2007-12-13;52,27;52,35;52,27;52,28;171,00
2007-12-12;52,25;52,25;52,20;52,20;1.810,00
2007-12-11;52,25;52,28;52,23;52,27;418,00
2007-12-10;52,29;52,29;52,23;52,23;524,00
2007-12-07;52,23;52,25;52,20;52,20;437,00
2007-12-06;52,22;52,27;52,22;52,23;437,00
2007-12-05;52,19;52,27;52,19;52,22;100,00
2007-12-04;52,18;52,19;52,18;52,19;210,00
2007-12-03;52,43;52,43;52,17;52,17;100,00
2007-11-30;52,19;52,45;52,19;52,25;1.195,00
2007-11-29;52,18;52,40;52,18;52,40;128,00
2007-11-28;52,22;52,22;52,18;52,18;64,00
2007-11-27;52,20;52,40;52,20;52,40;415,00
2007-11-26;52,18;52,20;52,18;52,20;155,00
2007-11-23;52,30;52,30;52,19;52,19;273,00
2007-11-22;52,20;52,20;52,20;52,20;40,00
2007-11-21;52,24;52,50;52,20;52,46;234,00
2007-11-20;52,26;52,50;52,24;52,24;608,00
2007-11-19;52,24;52,50;52,24;52,30;2.022,00
2007-11-16;52,05;52,05;52,05;52,11;0,00
2007-11-15;52,07;52,33;52,05;52,05;1.885,00
2007-11-14;52,06;52,07;52,06;52,33;395,00
2007-11-13;52,05;52,07;52,05;52,07;0,00
2007-11-12;52,03;52,05;52,03;52,31;100,00
2007-11-09;52,10;52,17;51,97;52,02;1.014,00
2007-11-08;52,10;52,10;52,10;52,10;0,00
2007-11-07;52,00;52,10;52,00;52,10;644,00
2007-11-06;52,00;52,26;52,00;52,00;100,00
2007-11-05;52,22;52,22;51,97;51,97;170,00
2007-11-02;51,99;51,99;51,97;51,97;0,00
2007-11-01;51,99;52,24;51,99;51,99;30,00
2007-10-31;51,95;51,95;51,95;51,95;0,00
2007-10-30;51,94;52,19;51,94;52,19;240,00
2007-10-29;52,05;52,17;51,92;52,17;1.279,00
2007-10-26;52,05;52,18;52,05;52,18;1.180,00
2007-10-25;51,91;52,16;51,91;52,16;658,00
2007-10-24;51,85;52,08;51,84;51,84;886,00
2007-10-23;51,90;51,90;51,82;51,85;1.071,00
2007-10-22;52,06;52,06;51,90;51,90;381,00
2007-10-19;52,05;52,05;51,90;51,90;1.138,00
2007-10-18;51,90;51,90;51,90;51,90;0,00
2007-10-17;51,80;51,90;51,80;51,90;0,00
2007-10-16;51,77;51,77;51,77;51,77;192,00
2007-10-15;51,86;52,02;51,77;51,77;1.308,00
2007-10-12;51,80;51,80;51,80;51,80;0,00
2007-10-11;51,80;51,82;51,80;51,82;0,00
2007-10-10;51,81;51,81;51,77;51,77;200,00
2007-10-09;51,77;51,81;51,77;51,81;60,00
2007-10-08;51,98;51,98;51,73;51,73;755,00
2007-10-05;51,72;51,73;51,72;51,73;81,00
2007-10-04;51,70;51,74;51,70;51,70;40,00
2007-10-03;51,70;51,95;51,70;51,70;20,00
2007-10-02;51,75;51,75;51,69;51,69;420,00
2007-10-01;51,67;51,74;51,67;51,67;230,00
2007-09-28;51,65;51,70;51,65;51,70;0,00
2007-09-27;51,90;51,90;51,65;51,65;872,00
2007-09-26;51,64;51,67;51,64;51,66;5.254,00
2007-09-25;51,62;51,64;51,62;51,64;391,00
2007-09-24;51,59;51,84;51,59;51,62;683,00
2007-09-21;51,53;51,59;51,53;51,59;0,00
2007-09-20;51,54;51,54;51,54;51,53;35,00
2007-09-19;51,69;51,70;51,54;51,54;403,00
2007-09-18;51,55;51,65;51,55;51,55;693,00
2007-09-17;51,55;51,89;51,55;51,65;20,00
2007-09-14;51,55;51,55;51,55;51,55;596,00
2007-09-13;51,56;51,56;51,55;51,55;147,00
2007-09-12;51,56;51,56;51,56;51,56;0,00
2007-09-11;51,57;51,57;51,57;51,57;96,00
2007-09-10;51,56;51,56;51,56;51,56;0,00
2007-09-07;51,55;51,55;51,49;51,50;0,00
2007-09-06;51,55;51,56;51,55;51,56;0,00
2007-09-05;51,55;51,61;51,55;51,61;0,00
2007-09-04;51,54;51,61;51,54;51,61;0,00
2007-09-03;51,78;51,78;51,53;51,77;1.808,00
2007-08-31;51,55;51,55;51,55;51,55;0,00
2007-08-30;51,53;51,56;51,53;51,56;0,00
2007-08-29;51,77;51,77;51,52;51,64;729,00
2007-08-28;51,52;51,55;51,52;51,55;429,00
2007-08-27;51,50;51,50;51,50;51,50;60,00
2007-08-24;51,52;51,77;51,52;51,52;47,00
2007-08-23;51,76;51,76;51,51;51,51;1.080,00
2007-08-22;51,57;51,76;51,57;51,61;1.135,00
2007-08-21;51,51;51,51;51,51;51,51;0,00
2007-08-20;51,88;51,93;51,68;51,68;2.140,00
2007-08-17;51,72;51,72;51,47;51,47;162,00
2007-08-16;51,71;51,71;51,46;51,46;504,00
2007-08-15;51,47;51,72;51,47;51,72;405,00
2007-08-14;51,46;51,71;51,46;51,71;260,00
2007-08-13;51,44;51,91;51,44;51,79;2.506,00
2007-08-10;51,43;51,55;51,43;51,55;5.722,00
2007-08-09;51,43;51,55;51,43;51,55;462,00
2007-08-08;51,55;51,55;51,43;51,43;1.151,00
2007-08-07;51,43;51,55;51,43;51,55;315,00
2007-08-06;51,42;51,42;51,42;51,42;235,00
2007-08-03;51,42;51,42;51,42;51,42;413,00
2007-08-02;51,41;51,53;51,41;51,41;2.324,00
2007-08-01;51,42;51,42;51,42;51,42;50,00
2007-07-31;51,45;51,57;51,45;51,57;478,00
2007-07-30;51,44;51,56;51,44;51,56;200,00
2007-07-27;51,44;51,56;51,44;51,56;706,00
2007-07-26;51,45;51,55;51,45;51,55;434,00
2007-07-25;51,42;51,54;51,42;51,54;293,00
2007-07-24;51,40;51,52;51,40;51,40;290,00
2007-07-23;51,37;51,49;51,37;51,37;1.540,00
2007-07-20;51,49;51,49;51,37;51,37;390,00
2007-07-19;51,37;51,49;51,37;51,49;978,00
2007-07-18;51,35;51,35;51,35;51,35;0,00
2007-07-17; ; ; ;51,46;404,00
2007-07-16;51,34;51,46;51,34;51,35;498,00
2007-07-13;51,47;51,47;51,43;51,43;637,00
2007-07-12;51,36;51,46;51,34;51,46;1.258,00
2007-07-11;51,45;51,45;51,33;51,33;547,00
2007-07-10;51,45;51,45;51,33;51,33;1.962,00
2007-07-09;51,43;51,43;51,31;51,31;1.116,00
2007-07-06;51,44;51,44;51,32;51,32;2.848,00
2007-07-05;51,45;51,45;51,33;51,41;955,00
2007-07-04;51,32;51,44;51,32;51,44;338,00
2007-07-03; ; ; ;53,66;270,00
2007-07-02; ; ; ;53,50;335,00
2007-06-29; ; ; ;53,46;60,00
2007-06-28; ; ; ;53,45;17,00
2007-06-27; ; ; ;53,45;100,00
2007-06-26; ; ; ;53,44;1.115,00
2007-06-25; ; ; ;53,45;136,00
2007-06-22; ; ; ;53,37;285,00
2007-06-21; ; ; ;52,96;250,00
2007-06-20; ; ; ;52,96;125,00
2007-06-19; ; ; ;53,09;597,00
2007-06-18; ; ; ;52,95;970,00
2007-06-15; ; ; ;53,00;493,00
2007-06-14; ; ; ;53,00;450,00
2007-06-13; ; ; ;52,94;167,00
2007-06-12; ; ; ;52,91;789,00
2007-06-11; ; ; ;53,00;470,00
2007-06-08; ; ; ;52,89;120,00
2007-06-07; ; ; ;52,89;167,00
2007-06-06; ; ; ;53,08;323,00
2007-06-05; ; ; ;52,64;372,00
2007-06-04; ; ; ;52,63;251,00
2007-06-01; ; ; ;52,70;418,00
2007-05-31; ; ; ;52,65;110,00
2007-05-30; ; ; ;52,65;165,00
2007-05-29; ; ; ;52,62;151,00
2007-05-25; ; ; ;52,60;640,00
2007-05-24; ; ; ;52,56;340,00
2007-05-23; ; ; ;52,55;145,00
2007-05-22; ; ; ;52,55;487,00
2007-05-21; ; ; ;52,54;640,00
2007-05-18; ; ; ;52,55;723,00
2007-05-17; ; ; ;52,60;40,00
2007-05-16; ; ; ;52,44;165,00
2007-05-15; ; ; ;52,56;710,00
2007-05-14; ; ; ;52,55;44,00
2007-05-11; ; ; ;52,52;5.350,00
2007-05-10; ; ; ;52,56;725,00
2007-05-09; ; ; ;52,51;621,00
2007-05-08; ; ; ;52,50;180,00
2007-05-07; ; ; ;52,50;0,00
2007-05-04; ; ; ;52,50;115,00
2007-05-03; ; ; ;52,49;326,00
2007-05-02; ; ; ;52,48;650,00
2007-04-30; ; ; ;52,47;333,00
2007-04-27; ; ; ;52,48;1.603,00
2007-04-26; ; ; ;52,48;1.450,00
2007-04-25; ; ; ;52,48;1.143,00
2007-04-24; ; ; ;52,47;529,00
2007-04-23; ; ; ;52,50;801,00
2007-04-20; ; ; ;52,64;190,00
2007-04-19; ; ; ;52,45;95,00
2007-04-18; ; ; ;52,43;529,00
2007-04-17; ; ; ;52,62;635,00
2007-04-16; ; ; ;52,50;182,00
2007-04-13; ; ; ;52,40;376,00
2007-04-12; ; ; ;52,55;530,00
2007-04-11; ; ; ;52,43;770,00
2007-04-10; ; ; ;52,48;950,00
2007-04-05; ; ; ;52,40;186,00
2007-04-04; ; ; ;52,36;228,00
2007-04-03; ; ; ;52,38;1.372,00
2007-04-02; ; ; ;52,40;60,00
2007-03-30; ; ; ;52,40;125,00
2007-03-29; ; ; ;52,43;228,00
2007-03-28; ; ; ;52,41;492,00
2007-03-27; ; ; ;52,41;100,00
2007-03-26; ; ; ;52,60;4.360,00
2007-03-23; ; ; ;52,50;481,00
2007-03-22; ; ; ;52,42;130,00
2007-03-21; ; ; ;52,37;425,00
2007-03-20; ; ; ;52,35;1.307,00
2007-03-19; ; ; ;52,32;1.134,00
2007-03-16; ; ; ;52,25;238,00
2007-03-15; ; ; ;52,90;655,00
2007-03-14; ; ; ;52,23;1.381,00
2007-03-13; ; ; ;52,29;943,00
2007-03-12; ; ; ;52,24;503,00
2007-03-09; ; ; ;52,50;95,00
2007-03-08; ; ; ;52,50;710,00
2007-03-07; ; ; ;52,60;285,00
2007-03-06; ; ; ;52,50;575,00
2007-03-05; ; ; ;52,54;263,00
2007-03-02; ; ; ;52,22;110,00
2007-03-01; ; ; ;52,80;1.085,00
2007-02-28; ; ; ;52,20;959,00
2007-02-27; ; ; ;52,30;1.956,00
2007-02-26; ; ; ;52,41;110,00
2007-02-23; ; ; ;52,50;917,00
2007-02-22; ; ; ;52,31;380,00
2007-02-21; ; ; ;52,51;1.363,00
2007-02-20; ; ; ;52,51;619,00
2007-02-19; ; ; ;52,30;2.198,00
2007-02-16; ; ; ;52,27;215,00
2007-02-15; ; ; ;52,21;757,00
2007-02-14; ; ; ;53,14;1.171,00
2007-02-13; ; ; ;52,20;1.331,00
2007-02-12; ; ; ;52,15;676,00
2007-02-09; ; ; ;52,50;792,00
2007-02-08; ; ; ;52,10;1.515,00
2007-02-07; ; ; ;52,10;439,00
2007-02-06; ; ; ;51,98;2.663,00
2007-02-05; ; ; ;52,05;894,00
2007-02-02; ; ; ;51,90;540,00
2007-02-01; ; ; ;51,90;1.530,00
2007-01-31; ; ; ;52,00;1.030,00
2007-01-30; ; ; ;51,90;275,00
2007-01-29; ; ; ;51,77;400,00
2007-01-26; ; ; ;51,90;695,00
2007-01-25; ; ; ;51,74;2.201,00
2007-01-24; ; ; ;51,90;945,00
2007-01-23; ; ; ;51,93;364,00
2007-01-22; ; ; ;51,85;635,00
2007-01-19; ; ; ;52,27;1.151,00
2007-01-18; ; ; ;51,90;0,00
2007-01-17; ; ; ;52,30;953,00
2007-01-16; ; ; ;52,63;3.338,00
2007-01-15; ; ; ;52,42;2.000,00
2007-01-12; ; ; ;51,90;597,00
2007-01-11; ; ; ;51,80;1.049,00
2007-01-10; ; ; ;51,80;834,00
2007-01-09; ; ; ;51,80;1.180,00
2007-01-08; ; ; ;52,00;597,00
2007-01-05; ; ; ;51,80;190,00
2007-01-04; ; ; ;52,65;834,00
2007-01-03; ; ; ;52,74;2.181,00
2007-01-02; ; ; ;51,70;457,00
2007-01-01; ; ; ;51,82;0,00
2006-12-29; ; ; ;51,82;137,00
2006-12-28; ; ; ;51,85;233,00
2006-12-27; ; ; ;51,82;149,00
2006-12-26; ; ; ;51,82;0,00
2006-12-25; ; ; ;51,82;0,00
2006-12-22; ; ; ;51,82;233,00
2006-12-21; ; ; ;52,28;1.719,00
2006-12-20; ; ; ;52,35;1.068,00
2006-12-19; ; ; ;51,82;589,00
2006-12-18; ; ; ;51,83;478,00
2006-12-15; ; ; ;51,82;764,00
2006-12-14; ; ; ;52,20;613,00
2006-12-13; ; ; ;52,20;311,00
2006-12-12; ; ; ;51,60;611,00
2006-12-11; ; ; ;51,61;200,00
2006-12-08; ; ; ;51,55;1.040,00
2006-12-07; ; ; ;51,51;627,00
2006-12-06; ; ; ;51,95;471,00
2006-12-05; ; ; ;52,51;306,00
2006-12-04; ; ; ;52,49;170,00
2006-12-01; ; ; ;51,50;627,00
2006-11-30; ; ; ;51,50;276,00
2006-11-29; ; ; ;51,50;389,00
2006-11-28; ; ; ;51,42;1.280,00
2006-11-27; ; ; ;51,42;1.260,00
2006-11-24; ; ; ;51,45;1.309,00
2006-11-23; ; ; ;51,50;624,00
2006-11-22; ; ; ;51,48;375,00
2006-11-21; ; ; ;51,48;444,00
2006-11-20; ; ; ;51,50;1.202,00
2006-11-17; ; ; ;51,54;1.390,00
2006-11-16; ; ; ;51,53;3.314,00
2006-11-15; ; ; ;51,53;973,00
2006-11-14; ; ; ;51,51;430,00
2006-11-13; ; ; ;51,52;638,00
2006-11-10; ; ; ;51,66;555,00
2006-11-09; ; ; ;51,66;50,00
2006-11-08; ; ; ;51,62;700,00
2006-11-07; ; ; ;51,62;385,00
2006-11-06; ; ; ;51,40;376,00
2006-11-03; ; ; ;51,60;40,00
2006-11-02; ; ; ;51,36;100,00
2006-11-01; ; ; ;51,50;200,00
2006-10-31; ; ; ;51,57;187,00
2006-10-30; ; ; ;51,33;848,00
2006-10-27; ; ; ;51,55;654,00
2006-10-26; ; ; ;51,38;300,00
2006-10-25; ; ; ;51,55;1.090,00
2006-10-24; ; ; ;51,55;300,00
2006-10-23; ; ; ;51,51;150,00
2006-10-20; ; ; ;51,38;80,00
2006-10-19; ; ; ;51,34;421,00
2006-10-18; ; ; ;51,55;745,00
2006-10-17; ; ; ;51,34;49,00
2006-10-16; ; ; ;51,55;1.555,00
2006-10-13; ; ; ;51,31;55,00
2006-10-12; ; ; ;51,54;1.950,00
2006-10-11; ; ; ;51,52;2.911,00
2006-10-10; ; ; ;51,51;350,00
2006-10-09; ; ; ;51,48;375,00
2006-10-06; ; ; ;51,47;200,00
2006-10-05; ; ; ;51,47;217,00
2006-10-04; ; ; ;51,47;550,00
2006-10-03; ; ; ;51,44;2.446,00
2006-10-02; ; ; ;51,45;2.826,00
2006-09-29; ; ; ;51,44;262,00
2006-09-28; ; ; ;51,40;0,00
2006-09-27; ; ; ;51,44;2.446,00
2006-09-26; ; ; ;51,40;663,00
2006-09-25; ; ; ;51,41;225,00
2006-09-22; ; ; ;51,27;0,00
2006-09-21; ; ; ;51,26;323,00
2006-09-20; ; ; ;51,32;600,00
2006-09-19; ; ; ;51,32;2.138,00
2006-09-18; ; ; ;51,25;1.150,00
2006-09-15; ; ; ;51,20;100,00
2006-09-14; ; ; ;51,23;1.520,00
2006-09-13; ; ; ;51,17;1.965,00
2006-09-12; ; ; ;51,21;1.150,00
2006-09-11; ; ; ;51,17;590,00
2006-09-08; ; ; ;51,19;1.000,00
2006-09-07; ; ; ;51,08;1.137,00
2006-09-06; ; ; ;51,09;684,00
2006-09-05; ; ; ;50,86;220,00
2006-09-04; ; ; ;50,86;900,00
2006-09-01; ; ; ;50,80;950,00
2006-08-31; ; ; ;50,61;60,00
2006-08-30; ; ; ;50,60;0,00
2006-08-29; ; ; ;50,61;50,00
2006-08-28; ; ; ;50,75;645,00
2006-08-25; ; ; ;50,76;550,00
2006-08-24; ; ; ;50,60;85,00
2006-08-23; ; ; ;50,71;50,00
2006-08-22; ; ; ;50,69;684,00
2006-08-21; ; ; ;50,69;512,00
2006-08-18; ; ; ;50,66;85,00
2006-08-17; ; ; ;50,70;60,00
2006-08-16; ; ; ;50,62;68,00
2006-08-15; ; ; ;50,70;200,00
2006-08-14; ; ; ;50,70;150,00
2006-08-11; ; ; ;50,65;45,00
2006-08-10; ; ; ;50,65;30,00
2006-08-09; ; ; ;50,68;1.000,00
2006-08-08; ; ; ;50,40;232,00
2006-08-07; ; ; ;50,51;45,00
2006-08-04; ; ; ;50,52;30,00
2006-08-03; ; ; ;50,28;217,00
2006-08-02; ; ; ;50,48;232,00
2006-08-01; ; ; ;50,26;663,00
2006-07-31; ; ; ;50,44;114,00
2006-07-28; ; ; ;50,38;0,00
2006-07-27; ; ; ;50,44;119,00
2006-07-26; ; ; ;50,42;542,00
2006-07-25; ; ; ;50,40;100,00
2006-07-24; ; ; ;50,35;200,00
2006-07-21; ; ; ;50,35;300,00
2006-07-20; ; ; ;50,30;59,00
2006-07-19; ; ; ;50,30;35,00
2006-07-18; ; ; ;50,30;200,00
2006-07-17; ; ; ;51,19;157,00
2006-07-14; ; ; ;50,08;59,00
2006-07-13; ; ; ;50,04;35,00
2006-07-12; ; ; ;49,90;60,00
2006-07-11; ; ; ;50,35;9,00
2006-07-10; ; ; ;50,31;618,00
2006-07-07; ; ; ;50,05;63,00
2006-07-06; ; ; ;50,00;60,00
2006-07-05; ; ; ;50,25;200,00
2006-07-04; ; ; ;51,29;40,00
2006-07-03; ; ; ;51,28;0,00
2006-06-30; ; ; ;51,90;85,00
2006-06-29; ; ; ;51,90;65,00
2006-06-28; ; ; ;52,12;40,00
2006-06-27; ; ; ;51,10;0,00
